Author Name,Author Affiliation,Country,Article No.,h-index,Title,Year,Author Number,Key Words,Citation,Source,Abstract,Type
F. Jerry Reen,University College Cork,Ireland,16,,Developing student codesigned immersive virtual reality simulations for teaching of challenging concepts in molecular and cellular biology,2022,11.0,"virtual reality, molecular biology, cellular biology, immersive learning, virology",0.0,FEMS MICROBIOLOGY LETTERS,"Molecular biology theory represents a critical scaffold, which underpins multiple disciplines within life sciences education. However, it is well-documented that undergraduate students can struggle to achieve deeper understanding of key concepts and/or their application. One challenging, contributory aspect is the ""invisible"" nature of molecular biology processes compounded by critical 3D spatial orientations of the principal components and their interactions. Molecular theory specifically requires students to construct accurate, mental spatial models to develop their understanding. However, much of the traditional teaching and examination of such theory is limited to 2D representations. Technology-enhanced, complementary teaching and examination approaches, which engage students with spatial aspects of theoretical concepts, offer an exciting opportunity to support student learning in this area. In this study, we have explored the integration of an immersive virtual reality simulation based on a challenging molecular biology concept within an existing module taught at University College Cork. A mixed methods approach, grounded in learning theory, was undertaken to assess the student user and learning experience. The consensus response from students was one of enhanced learning, understanding, engagement, and motivation. Student partnership in the process of simulation design and integration was key to delivering the fully integrated experience.Student partnered design and cocreation of virtual reality simulations for teaching and learning in the molecular and cellular biology curriculum.",Journal
Owen Jump,University College Cork,Ireland,16,,Developing student codesigned immersive virtual reality simulations for teaching of challenging concepts in molecular and cellular biology,2022,11.0,"virtual reality, molecular biology, cellular biology, immersive learning, virology",0.0,FEMS MICROBIOLOGY LETTERS,"Molecular biology theory represents a critical scaffold, which underpins multiple disciplines within life sciences education. However, it is well-documented that undergraduate students can struggle to achieve deeper understanding of key concepts and/or their application. One challenging, contributory aspect is the ""invisible"" nature of molecular biology processes compounded by critical 3D spatial orientations of the principal components and their interactions. Molecular theory specifically requires students to construct accurate, mental spatial models to develop their understanding. However, much of the traditional teaching and examination of such theory is limited to 2D representations. Technology-enhanced, complementary teaching and examination approaches, which engage students with spatial aspects of theoretical concepts, offer an exciting opportunity to support student learning in this area. In this study, we have explored the integration of an immersive virtual reality simulation based on a challenging molecular biology concept within an existing module taught at University College Cork. A mixed methods approach, grounded in learning theory, was undertaken to assess the student user and learning experience. The consensus response from students was one of enhanced learning, understanding, engagement, and motivation. Student partnership in the process of simulation design and integration was key to delivering the fully integrated experience.Student partnered design and cocreation of virtual reality simulations for teaching and learning in the molecular and cellular biology curriculum.",Journal
Grace McEvoy,University College Cork,Ireland,16,,Developing student codesigned immersive virtual reality simulations for teaching of challenging concepts in molecular and cellular biology,2022,11.0,"virtual reality, molecular biology, cellular biology, immersive learning, virology",0.0,FEMS MICROBIOLOGY LETTERS,"Molecular biology theory represents a critical scaffold, which underpins multiple disciplines within life sciences education. However, it is well-documented that undergraduate students can struggle to achieve deeper understanding of key concepts and/or their application. One challenging, contributory aspect is the ""invisible"" nature of molecular biology processes compounded by critical 3D spatial orientations of the principal components and their interactions. Molecular theory specifically requires students to construct accurate, mental spatial models to develop their understanding. However, much of the traditional teaching and examination of such theory is limited to 2D representations. Technology-enhanced, complementary teaching and examination approaches, which engage students with spatial aspects of theoretical concepts, offer an exciting opportunity to support student learning in this area. In this study, we have explored the integration of an immersive virtual reality simulation based on a challenging molecular biology concept within an existing module taught at University College Cork. A mixed methods approach, grounded in learning theory, was undertaken to assess the student user and learning experience. The consensus response from students was one of enhanced learning, understanding, engagement, and motivation. Student partnership in the process of simulation design and integration was key to delivering the fully integrated experience.Student partnered design and cocreation of virtual reality simulations for teaching and learning in the molecular and cellular biology curriculum.",Journal
Brian P. McSharry,University College Cork,Ireland,16,,Developing student codesigned immersive virtual reality simulations for teaching of challenging concepts in molecular and cellular biology,2022,11.0,"virtual reality, molecular biology, cellular biology, immersive learning, virology",0.0,FEMS MICROBIOLOGY LETTERS,"Molecular biology theory represents a critical scaffold, which underpins multiple disciplines within life sciences education. However, it is well-documented that undergraduate students can struggle to achieve deeper understanding of key concepts and/or their application. One challenging, contributory aspect is the ""invisible"" nature of molecular biology processes compounded by critical 3D spatial orientations of the principal components and their interactions. Molecular theory specifically requires students to construct accurate, mental spatial models to develop their understanding. However, much of the traditional teaching and examination of such theory is limited to 2D representations. Technology-enhanced, complementary teaching and examination approaches, which engage students with spatial aspects of theoretical concepts, offer an exciting opportunity to support student learning in this area. In this study, we have explored the integration of an immersive virtual reality simulation based on a challenging molecular biology concept within an existing module taught at University College Cork. A mixed methods approach, grounded in learning theory, was undertaken to assess the student user and learning experience. The consensus response from students was one of enhanced learning, understanding, engagement, and motivation. Student partnership in the process of simulation design and integration was key to delivering the fully integrated experience.Student partnered design and cocreation of virtual reality simulations for teaching and learning in the molecular and cellular biology curriculum.",Journal
John Morgan,University College Cork,Ireland,16,,Developing student codesigned immersive virtual reality simulations for teaching of challenging concepts in molecular and cellular biology,2022,11.0,"virtual reality, molecular biology, cellular biology, immersive learning, virology",0.0,FEMS MICROBIOLOGY LETTERS,"Molecular biology theory represents a critical scaffold, which underpins multiple disciplines within life sciences education. However, it is well-documented that undergraduate students can struggle to achieve deeper understanding of key concepts and/or their application. One challenging, contributory aspect is the ""invisible"" nature of molecular biology processes compounded by critical 3D spatial orientations of the principal components and their interactions. Molecular theory specifically requires students to construct accurate, mental spatial models to develop their understanding. However, much of the traditional teaching and examination of such theory is limited to 2D representations. Technology-enhanced, complementary teaching and examination approaches, which engage students with spatial aspects of theoretical concepts, offer an exciting opportunity to support student learning in this area. In this study, we have explored the integration of an immersive virtual reality simulation based on a challenging molecular biology concept within an existing module taught at University College Cork. A mixed methods approach, grounded in learning theory, was undertaken to assess the student user and learning experience. The consensus response from students was one of enhanced learning, understanding, engagement, and motivation. Student partnership in the process of simulation design and integration was key to delivering the fully integrated experience.Student partnered design and cocreation of virtual reality simulations for teaching and learning in the molecular and cellular biology curriculum.",Journal
David Murphy,University College Cork,Ireland,16,,Developing student codesigned immersive virtual reality simulations for teaching of challenging concepts in molecular and cellular biology,2022,11.0,"virtual reality, molecular biology, cellular biology, immersive learning, virology",0.0,FEMS MICROBIOLOGY LETTERS,"Molecular biology theory represents a critical scaffold, which underpins multiple disciplines within life sciences education. However, it is well-documented that undergraduate students can struggle to achieve deeper understanding of key concepts and/or their application. One challenging, contributory aspect is the ""invisible"" nature of molecular biology processes compounded by critical 3D spatial orientations of the principal components and their interactions. Molecular theory specifically requires students to construct accurate, mental spatial models to develop their understanding. However, much of the traditional teaching and examination of such theory is limited to 2D representations. Technology-enhanced, complementary teaching and examination approaches, which engage students with spatial aspects of theoretical concepts, offer an exciting opportunity to support student learning in this area. In this study, we have explored the integration of an immersive virtual reality simulation based on a challenging molecular biology concept within an existing module taught at University College Cork. A mixed methods approach, grounded in learning theory, was undertaken to assess the student user and learning experience. The consensus response from students was one of enhanced learning, understanding, engagement, and motivation. Student partnership in the process of simulation design and integration was key to delivering the fully integrated experience.Student partnered design and cocreation of virtual reality simulations for teaching and learning in the molecular and cellular biology curriculum.",Journal
Niall O’Leary,University College Cork,Ireland,16,,Developing student codesigned immersive virtual reality simulations for teaching of challenging concepts in molecular and cellular biology,2022,11.0,"virtual reality, molecular biology, cellular biology, immersive learning, virology",0.0,FEMS MICROBIOLOGY LETTERS,"Molecular biology theory represents a critical scaffold, which underpins multiple disciplines within life sciences education. However, it is well-documented that undergraduate students can struggle to achieve deeper understanding of key concepts and/or their application. One challenging, contributory aspect is the ""invisible"" nature of molecular biology processes compounded by critical 3D spatial orientations of the principal components and their interactions. Molecular theory specifically requires students to construct accurate, mental spatial models to develop their understanding. However, much of the traditional teaching and examination of such theory is limited to 2D representations. Technology-enhanced, complementary teaching and examination approaches, which engage students with spatial aspects of theoretical concepts, offer an exciting opportunity to support student learning in this area. In this study, we have explored the integration of an immersive virtual reality simulation based on a challenging molecular biology concept within an existing module taught at University College Cork. A mixed methods approach, grounded in learning theory, was undertaken to assess the student user and learning experience. The consensus response from students was one of enhanced learning, understanding, engagement, and motivation. Student partnership in the process of simulation design and integration was key to delivering the fully integrated experience.Student partnered design and cocreation of virtual reality simulations for teaching and learning in the molecular and cellular biology curriculum.",Journal
Billy O’Mahony,University College Cork,Ireland,16,,Developing student codesigned immersive virtual reality simulations for teaching of challenging concepts in molecular and cellular biology,2022,11.0,"virtual reality, molecular biology, cellular biology, immersive learning, virology",0.0,FEMS MICROBIOLOGY LETTERS,"Molecular biology theory represents a critical scaffold, which underpins multiple disciplines within life sciences education. However, it is well-documented that undergraduate students can struggle to achieve deeper understanding of key concepts and/or their application. One challenging, contributory aspect is the ""invisible"" nature of molecular biology processes compounded by critical 3D spatial orientations of the principal components and their interactions. Molecular theory specifically requires students to construct accurate, mental spatial models to develop their understanding. However, much of the traditional teaching and examination of such theory is limited to 2D representations. Technology-enhanced, complementary teaching and examination approaches, which engage students with spatial aspects of theoretical concepts, offer an exciting opportunity to support student learning in this area. In this study, we have explored the integration of an immersive virtual reality simulation based on a challenging molecular biology concept within an existing module taught at University College Cork. A mixed methods approach, grounded in learning theory, was undertaken to assess the student user and learning experience. The consensus response from students was one of enhanced learning, understanding, engagement, and motivation. Student partnership in the process of simulation design and integration was key to delivering the fully integrated experience.Student partnered design and cocreation of virtual reality simulations for teaching and learning in the molecular and cellular biology curriculum.",Journal
Martina Scallan,University College Cork,Ireland,16,,Developing student codesigned immersive virtual reality simulations for teaching of challenging concepts in molecular and cellular biology,2022,11.0,"virtual reality, molecular biology, cellular biology, immersive learning, virology",0.0,FEMS MICROBIOLOGY LETTERS,"Molecular biology theory represents a critical scaffold, which underpins multiple disciplines within life sciences education. However, it is well-documented that undergraduate students can struggle to achieve deeper understanding of key concepts and/or their application. One challenging, contributory aspect is the ""invisible"" nature of molecular biology processes compounded by critical 3D spatial orientations of the principal components and their interactions. Molecular theory specifically requires students to construct accurate, mental spatial models to develop their understanding. However, much of the traditional teaching and examination of such theory is limited to 2D representations. Technology-enhanced, complementary teaching and examination approaches, which engage students with spatial aspects of theoretical concepts, offer an exciting opportunity to support student learning in this area. In this study, we have explored the integration of an immersive virtual reality simulation based on a challenging molecular biology concept within an existing module taught at University College Cork. A mixed methods approach, grounded in learning theory, was undertaken to assess the student user and learning experience. The consensus response from students was one of enhanced learning, understanding, engagement, and motivation. Student partnership in the process of simulation design and integration was key to delivering the fully integrated experience.Student partnered design and cocreation of virtual reality simulations for teaching and learning in the molecular and cellular biology curriculum.",Journal
Christine Walsh,University College Cork,Ireland,16,,Developing student codesigned immersive virtual reality simulations for teaching of challenging concepts in molecular and cellular biology,2022,11.0,"virtual reality, molecular biology, cellular biology, immersive learning, virology",0.0,FEMS MICROBIOLOGY LETTERS,"Molecular biology theory represents a critical scaffold, which underpins multiple disciplines within life sciences education. However, it is well-documented that undergraduate students can struggle to achieve deeper understanding of key concepts and/or their application. One challenging, contributory aspect is the ""invisible"" nature of molecular biology processes compounded by critical 3D spatial orientations of the principal components and their interactions. Molecular theory specifically requires students to construct accurate, mental spatial models to develop their understanding. However, much of the traditional teaching and examination of such theory is limited to 2D representations. Technology-enhanced, complementary teaching and examination approaches, which engage students with spatial aspects of theoretical concepts, offer an exciting opportunity to support student learning in this area. In this study, we have explored the integration of an immersive virtual reality simulation based on a challenging molecular biology concept within an existing module taught at University College Cork. A mixed methods approach, grounded in learning theory, was undertaken to assess the student user and learning experience. The consensus response from students was one of enhanced learning, understanding, engagement, and motivation. Student partnership in the process of simulation design and integration was key to delivering the fully integrated experience.Student partnered design and cocreation of virtual reality simulations for teaching and learning in the molecular and cellular biology curriculum.",Journal
Briony Supple,University College Cork,Ireland,16,,Developing student codesigned immersive virtual reality simulations for teaching of challenging concepts in molecular and cellular biology,2022,11.0,"virtual reality, molecular biology, cellular biology, immersive learning, virology",0.0,FEMS MICROBIOLOGY LETTERS,"Molecular biology theory represents a critical scaffold, which underpins multiple disciplines within life sciences education. However, it is well-documented that undergraduate students can struggle to achieve deeper understanding of key concepts and/or their application. One challenging, contributory aspect is the ""invisible"" nature of molecular biology processes compounded by critical 3D spatial orientations of the principal components and their interactions. Molecular theory specifically requires students to construct accurate, mental spatial models to develop their understanding. However, much of the traditional teaching and examination of such theory is limited to 2D representations. Technology-enhanced, complementary teaching and examination approaches, which engage students with spatial aspects of theoretical concepts, offer an exciting opportunity to support student learning in this area. In this study, we have explored the integration of an immersive virtual reality simulation based on a challenging molecular biology concept within an existing module taught at University College Cork. A mixed methods approach, grounded in learning theory, was undertaken to assess the student user and learning experience. The consensus response from students was one of enhanced learning, understanding, engagement, and motivation. Student partnership in the process of simulation design and integration was key to delivering the fully integrated experience.Student partnered design and cocreation of virtual reality simulations for teaching and learning in the molecular and cellular biology curriculum.",Journal
Safa Molan,The University of South Australia,Australia,17,,Shaping Children's Knowledge and Response to Bushfire Through Use of an Immersive Virtual Learning Environment,2022,3.0,"Bushfire safety, children, immersive virtual environments, problem-based learning, knowledge transfer, self-efficacy beliefs, gender differences",1.0,JOURNAL OF EDUCATIONAL COMPUTING RESEARCH,"A problem-based immersive virtual environment (IVE) about bushfire safety was developed as a learning tool for children aged 10-12. Its effectiveness was assessed in relation to children's ability to determine how to be safer in a bushfire incident. A series of experiential activities were developed in the IVE with digital storytelling and two-stage embedded assessments providing children with an opportunity to engage with tasks and solve problems while receiving feedback on their performance. Changes from pre- to postsurvey results showed positive learning outcomes as evidenced by significant improvements in children's knowledge of bushfire safety and confidence in their ability to contribute to decisions during a bushfire incident. The significant change in children's knowledge as well as their performance at two-stage embedded assessments was independent of their gender, background knowledge and perceived ability in responding to bushfire hazards. This suggests that when appropriately designed and implemented within educational settings, immersive virtual learning tools can effectively engage children and enhance learning outcomes associated with bushfire safety. The paper also argues that such immersive problem-based learning can improve self-efficacy amongst children in relation to coping with a bushfire situation. Implications of the findings are also discussed.",Journal
Delene Weber,The University of South Australia,Australia,17,20.0,Shaping Children's Knowledge and Response to Bushfire Through Use of an Immersive Virtual Learning Environment,2022,3.0,"Bushfire safety, children, immersive virtual environments, problem-based learning, knowledge transfer, self-efficacy beliefs, gender differences",1.0,JOURNAL OF EDUCATIONAL COMPUTING RESEARCH,"A problem-based immersive virtual environment (IVE) about bushfire safety was developed as a learning tool for children aged 10-12. Its effectiveness was assessed in relation to children's ability to determine how to be safer in a bushfire incident. A series of experiential activities were developed in the IVE with digital storytelling and two-stage embedded assessments providing children with an opportunity to engage with tasks and solve problems while receiving feedback on their performance. Changes from pre- to postsurvey results showed positive learning outcomes as evidenced by significant improvements in children's knowledge of bushfire safety and confidence in their ability to contribute to decisions during a bushfire incident. The significant change in children's knowledge as well as their performance at two-stage embedded assessments was independent of their gender, background knowledge and perceived ability in responding to bushfire hazards. This suggests that when appropriately designed and implemented within educational settings, immersive virtual learning tools can effectively engage children and enhance learning outcomes associated with bushfire safety. The paper also argues that such immersive problem-based learning can improve self-efficacy amongst children in relation to coping with a bushfire situation. Implications of the findings are also discussed.",Journal
Matin Kor,The University of South Australia,Australia,17,,Shaping Children's Knowledge and Response to Bushfire Through Use of an Immersive Virtual Learning Environment,2022,3.0,"Bushfire safety, children, immersive virtual environments, problem-based learning, knowledge transfer, self-efficacy beliefs, gender differences",1.0,JOURNAL OF EDUCATIONAL COMPUTING RESEARCH,"A problem-based immersive virtual environment (IVE) about bushfire safety was developed as a learning tool for children aged 10-12. Its effectiveness was assessed in relation to children's ability to determine how to be safer in a bushfire incident. A series of experiential activities were developed in the IVE with digital storytelling and two-stage embedded assessments providing children with an opportunity to engage with tasks and solve problems while receiving feedback on their performance. Changes from pre- to postsurvey results showed positive learning outcomes as evidenced by significant improvements in children's knowledge of bushfire safety and confidence in their ability to contribute to decisions during a bushfire incident. The significant change in children's knowledge as well as their performance at two-stage embedded assessments was independent of their gender, background knowledge and perceived ability in responding to bushfire hazards. This suggests that when appropriately designed and implemented within educational settings, immersive virtual learning tools can effectively engage children and enhance learning outcomes associated with bushfire safety. The paper also argues that such immersive problem-based learning can improve self-efficacy amongst children in relation to coping with a bushfire situation. Implications of the findings are also discussed.",Journal
Florence Mei Kuen Tang,The Chinese University of Hong Kong,Hong Kong,18,,A Simulation Design of Immersive Virtual Reality for Animal Handling Training to Biomedical Sciences Undergraduates,2021,8.0,"immersive virtual reality, 4R principles, simulation, animal handling, biomedical research, undergraduate, teaching and learning",2.0,FRONTIERS IN EDUCATION,"Background: One area of biomedical research concerns is applying new treatments to cure human diseases, moving bench-side research to the bedside practice. While using animal models is crucial in the research process, researchers should strictly adhere to the moral 4R framework to protect animal welfare-replacement, reduction, refinement, and responsibility. Virtual reality (VR) applies computer technology to create a simulated environment, allowing players to immerse and interact with animated 3D contexts. We developed a virtual animal-holding simulator (ViSi) using immersive virtual reality technology for students studying in the undergraduate biomedical sciences programme. The specific objectives of the paper are to 1) describe the development of the VR courseware for animal training and 2) describe the learning experience among students. Method and Result: An evaluation of the courseware was conducted among Year one and two biomedical sciences students. Students who participated in ViSi responded positively about their involvement in the virtual environment experience and their concentration on the assigned task. Discussion: ViSi is a reliable simulation technology that can train animal handling skills, which replaces real animals, while learners' multi-cognition could still be enhanced with simulation training. Thus, the impact of immersive VR technology integrated into skills training is promising, although few technical problems are to be resolved.",Journal
Ray Mau Fung Lee,The Chinese University of Hong Kong,Hong Kong,18,,A Simulation Design of Immersive Virtual Reality for Animal Handling Training to Biomedical Sciences Undergraduates,2021,8.0,"immersive virtual reality, 4R principles, simulation, animal handling, biomedical research, undergraduate, teaching and learning",2.0,FRONTIERS IN EDUCATION,"Background: One area of biomedical research concerns is applying new treatments to cure human diseases, moving bench-side research to the bedside practice. While using animal models is crucial in the research process, researchers should strictly adhere to the moral 4R framework to protect animal welfare-replacement, reduction, refinement, and responsibility. Virtual reality (VR) applies computer technology to create a simulated environment, allowing players to immerse and interact with animated 3D contexts. We developed a virtual animal-holding simulator (ViSi) using immersive virtual reality technology for students studying in the undergraduate biomedical sciences programme. The specific objectives of the paper are to 1) describe the development of the VR courseware for animal training and 2) describe the learning experience among students. Method and Result: An evaluation of the courseware was conducted among Year one and two biomedical sciences students. Students who participated in ViSi responded positively about their involvement in the virtual environment experience and their concentration on the assigned task. Discussion: ViSi is a reliable simulation technology that can train animal handling skills, which replaces real animals, while learners' multi-cognition could still be enhanced with simulation training. Thus, the impact of immersive VR technology integrated into skills training is promising, although few technical problems are to be resolved.",Journal
Roy Hok Lai Szeto,The Chinese University of Hong Kong,Hong Kong,18,,A Simulation Design of Immersive Virtual Reality for Animal Handling Training to Biomedical Sciences Undergraduates,2021,8.0,"immersive virtual reality, 4R principles, simulation, animal handling, biomedical research, undergraduate, teaching and learning",2.0,FRONTIERS IN EDUCATION,"Background: One area of biomedical research concerns is applying new treatments to cure human diseases, moving bench-side research to the bedside practice. While using animal models is crucial in the research process, researchers should strictly adhere to the moral 4R framework to protect animal welfare-replacement, reduction, refinement, and responsibility. Virtual reality (VR) applies computer technology to create a simulated environment, allowing players to immerse and interact with animated 3D contexts. We developed a virtual animal-holding simulator (ViSi) using immersive virtual reality technology for students studying in the undergraduate biomedical sciences programme. The specific objectives of the paper are to 1) describe the development of the VR courseware for animal training and 2) describe the learning experience among students. Method and Result: An evaluation of the courseware was conducted among Year one and two biomedical sciences students. Students who participated in ViSi responded positively about their involvement in the virtual environment experience and their concentration on the assigned task. Discussion: ViSi is a reliable simulation technology that can train animal handling skills, which replaces real animals, while learners' multi-cognition could still be enhanced with simulation training. Thus, the impact of immersive VR technology integrated into skills training is promising, although few technical problems are to be resolved.",Journal
Jason Ka Kit Cheng,The Chinese University of Hong Kong,Hong Kong,18,,A Simulation Design of Immersive Virtual Reality for Animal Handling Training to Biomedical Sciences Undergraduates,2021,8.0,"immersive virtual reality, 4R principles, simulation, animal handling, biomedical research, undergraduate, teaching and learning",2.0,FRONTIERS IN EDUCATION,"Background: One area of biomedical research concerns is applying new treatments to cure human diseases, moving bench-side research to the bedside practice. While using animal models is crucial in the research process, researchers should strictly adhere to the moral 4R framework to protect animal welfare-replacement, reduction, refinement, and responsibility. Virtual reality (VR) applies computer technology to create a simulated environment, allowing players to immerse and interact with animated 3D contexts. We developed a virtual animal-holding simulator (ViSi) using immersive virtual reality technology for students studying in the undergraduate biomedical sciences programme. The specific objectives of the paper are to 1) describe the development of the VR courseware for animal training and 2) describe the learning experience among students. Method and Result: An evaluation of the courseware was conducted among Year one and two biomedical sciences students. Students who participated in ViSi responded positively about their involvement in the virtual environment experience and their concentration on the assigned task. Discussion: ViSi is a reliable simulation technology that can train animal handling skills, which replaces real animals, while learners' multi-cognition could still be enhanced with simulation training. Thus, the impact of immersive VR technology integrated into skills training is promising, although few technical problems are to be resolved.",Journal
Frederic Wai To Choi,The Chinese University of Hong Kong,Hong Kong,18,,A Simulation Design of Immersive Virtual Reality for Animal Handling Training to Biomedical Sciences Undergraduates,2021,8.0,"immersive virtual reality, 4R principles, simulation, animal handling, biomedical research, undergraduate, teaching and learning",2.0,FRONTIERS IN EDUCATION,"Background: One area of biomedical research concerns is applying new treatments to cure human diseases, moving bench-side research to the bedside practice. While using animal models is crucial in the research process, researchers should strictly adhere to the moral 4R framework to protect animal welfare-replacement, reduction, refinement, and responsibility. Virtual reality (VR) applies computer technology to create a simulated environment, allowing players to immerse and interact with animated 3D contexts. We developed a virtual animal-holding simulator (ViSi) using immersive virtual reality technology for students studying in the undergraduate biomedical sciences programme. The specific objectives of the paper are to 1) describe the development of the VR courseware for animal training and 2) describe the learning experience among students. Method and Result: An evaluation of the courseware was conducted among Year one and two biomedical sciences students. Students who participated in ViSi responded positively about their involvement in the virtual environment experience and their concentration on the assigned task. Discussion: ViSi is a reliable simulation technology that can train animal handling skills, which replaces real animals, while learners' multi-cognition could still be enhanced with simulation training. Thus, the impact of immersive VR technology integrated into skills training is promising, although few technical problems are to be resolved.",Journal
Justin Chak Ting Cheung,The Chinese University of Hong Kong,Hong Kong,18,,A Simulation Design of Immersive Virtual Reality for Animal Handling Training to Biomedical Sciences Undergraduates,2021,8.0,"immersive virtual reality, 4R principles, simulation, animal handling, biomedical research, undergraduate, teaching and learning",2.0,FRONTIERS IN EDUCATION,"Background: One area of biomedical research concerns is applying new treatments to cure human diseases, moving bench-side research to the bedside practice. While using animal models is crucial in the research process, researchers should strictly adhere to the moral 4R framework to protect animal welfare-replacement, reduction, refinement, and responsibility. Virtual reality (VR) applies computer technology to create a simulated environment, allowing players to immerse and interact with animated 3D contexts. We developed a virtual animal-holding simulator (ViSi) using immersive virtual reality technology for students studying in the undergraduate biomedical sciences programme. The specific objectives of the paper are to 1) describe the development of the VR courseware for animal training and 2) describe the learning experience among students. Method and Result: An evaluation of the courseware was conducted among Year one and two biomedical sciences students. Students who participated in ViSi responded positively about their involvement in the virtual environment experience and their concentration on the assigned task. Discussion: ViSi is a reliable simulation technology that can train animal handling skills, which replaces real animals, while learners' multi-cognition could still be enhanced with simulation training. Thus, the impact of immersive VR technology integrated into skills training is promising, although few technical problems are to be resolved.",Journal
Olivia Miu Yung Ngan,The Chinese University of Hong Kong,Hong Kong,18,,A Simulation Design of Immersive Virtual Reality for Animal Handling Training to Biomedical Sciences Undergraduates,2021,8.0,"immersive virtual reality, 4R principles, simulation, animal handling, biomedical research, undergraduate, teaching and learning",2.0,FRONTIERS IN EDUCATION,"Background: One area of biomedical research concerns is applying new treatments to cure human diseases, moving bench-side research to the bedside practice. While using animal models is crucial in the research process, researchers should strictly adhere to the moral 4R framework to protect animal welfare-replacement, reduction, refinement, and responsibility. Virtual reality (VR) applies computer technology to create a simulated environment, allowing players to immerse and interact with animated 3D contexts. We developed a virtual animal-holding simulator (ViSi) using immersive virtual reality technology for students studying in the undergraduate biomedical sciences programme. The specific objectives of the paper are to 1) describe the development of the VR courseware for animal training and 2) describe the learning experience among students. Method and Result: An evaluation of the courseware was conducted among Year one and two biomedical sciences students. Students who participated in ViSi responded positively about their involvement in the virtual environment experience and their concentration on the assigned task. Discussion: ViSi is a reliable simulation technology that can train animal handling skills, which replaces real animals, while learners' multi-cognition could still be enhanced with simulation training. Thus, the impact of immersive VR technology integrated into skills training is promising, although few technical problems are to be resolved.",Journal
Ann Sin Nga Lau,The Chinese University of Hong Kong,Hong Kong,18,,A Simulation Design of Immersive Virtual Reality for Animal Handling Training to Biomedical Sciences Undergraduates,2021,8.0,"immersive virtual reality, 4R principles, simulation, animal handling, biomedical research, undergraduate, teaching and learning",2.0,FRONTIERS IN EDUCATION,"Background: One area of biomedical research concerns is applying new treatments to cure human diseases, moving bench-side research to the bedside practice. While using animal models is crucial in the research process, researchers should strictly adhere to the moral 4R framework to protect animal welfare-replacement, reduction, refinement, and responsibility. Virtual reality (VR) applies computer technology to create a simulated environment, allowing players to immerse and interact with animated 3D contexts. We developed a virtual animal-holding simulator (ViSi) using immersive virtual reality technology for students studying in the undergraduate biomedical sciences programme. The specific objectives of the paper are to 1) describe the development of the VR courseware for animal training and 2) describe the learning experience among students. Method and Result: An evaluation of the courseware was conducted among Year one and two biomedical sciences students. Students who participated in ViSi responded positively about their involvement in the virtual environment experience and their concentration on the assigned task. Discussion: ViSi is a reliable simulation technology that can train animal handling skills, which replaces real animals, while learners' multi-cognition could still be enhanced with simulation training. Thus, the impact of immersive VR technology integrated into skills training is promising, although few technical problems are to be resolved.",Journal
María Graciela Badilla-Quintana,Universidad Católica de la Santísima Concepción,Chile,19,,Augmented Reality as a Sustainable Technology to Improve Academic Achievement in Students with and without Special Educational Needs,2020,3.0,inclusive education; academic achievement; augmented reality; sustainable technologies; knowledge retention; chemistry learning,26.0,SUSTAINABILITY,"Virtual reality has impacted education, where progressively more educational institutions consider its inclusion. The research problem derives from the need to study the educational possibilities provided by integrating augmented reality into the curriculum, and its effect on academic achievement in a diverse class, specifically in the chemistry subject. This study examines 60 school-age participants with and without special educational needs, and addresses three overarching questions: (a) Would integrating augmented reality (AR) technology result in better academic achievement? (b) Would knowledge be retained longer by using AR? (c) Is there any relationship between academic achievement, acceptance and motivation regarding the use of this technology? Embracing the socio-constructivist theory of learning and collaborative and immersive learning as a framework, this study was carried out using a quantitative approach and a pre-experimental design. The AR VR Molecules Editor application was used in chemistry lessons. Main results showed significant immediate academic achievement and content retention. Despite classroom diversity, immersive technologies enhance students' learning regardless of whether they have special educational needs (SEN) or not. They also acknowledge that AR is a suitable sustainable technology that may foster social and cognitive justice and inclusive education, and train students that are equally prepared for the dynamic future.",Journal
Eileen Sepulveda-Valenzuela,University of Bristol,Bristol,19,5.0,Augmented Reality as a Sustainable Technology to Improve Academic Achievement in Students with and without Special Educational Needs,2020,3.0,inclusive education; academic achievement; augmented reality; sustainable technologies; knowledge retention; chemistry learning,26.0,SUSTAINABILITY,"Virtual reality has impacted education, where progressively more educational institutions consider its inclusion. The research problem derives from the need to study the educational possibilities provided by integrating augmented reality into the curriculum, and its effect on academic achievement in a diverse class, specifically in the chemistry subject. This study examines 60 school-age participants with and without special educational needs, and addresses three overarching questions: (a) Would integrating augmented reality (AR) technology result in better academic achievement? (b) Would knowledge be retained longer by using AR? (c) Is there any relationship between academic achievement, acceptance and motivation regarding the use of this technology? Embracing the socio-constructivist theory of learning and collaborative and immersive learning as a framework, this study was carried out using a quantitative approach and a pre-experimental design. The AR VR Molecules Editor application was used in chemistry lessons. Main results showed significant immediate academic achievement and content retention. Despite classroom diversity, immersive technologies enhance students' learning regardless of whether they have special educational needs (SEN) or not. They also acknowledge that AR is a suitable sustainable technology that may foster social and cognitive justice and inclusive education, and train students that are equally prepared for the dynamic future.",Journal
